"Sentiment (1-negative, 2-neutral, 3-positive)"	Sentence
	And a certain levels of supplement unemployment benefits to go with that and that just not change based on this contract which is primarily the driver the maintaining the downturn assumption of where they are.
	"At this time, I would like to welcome everyone to the Wells Fargo Third Quarter Earnings Conference Call."
	David Bergman Thank you.
	"It's just the ability for us to think like that in that capacity, I think, is one of the aspects we'd be unlocking."
	Those three things are what's driving an all-time high in customer connection scores.
	David Bergman Yeah.
	"With me on the call today is Marc Benioff, Chairman and co-CEO; Keith Block, co-CEO; Mark Hawkins, President and CFO; Bret Taylor, President and Chief Product Officer and Amy Weaver, President of Legal & Corporate Affairs."
	So Steve when we talk about the spare engines in the quarter specific as it relates to spares to GECAS the corporate elimination was just under $100 million this quarter and we are seeing spare engine shipments higher in the quarter about half of that now back on Aviation about half of that relates to LEAP.
	And we are in the middle of the launches for the year.
	"Moving forward, our efforts to create greater efficiency, agility and leveraging our cost structure remains a key priority and focus for our company."
	"And then separately on the fee side, the equity investment gains saw a pretty good jump in the quarter, if you could just give us a little bit of color on what drove that and if you can give us a little thoughts in your outlook there?"
	"Footwear revenue was down 12% to $251 million, driven by the factors Patrik previously discussed."
	We have all these capabilities and they're accessible to everyone on our platform in a low-code way.
	"Andrew Kaplowitz Larry, intra-quarter you had said that you were watching Healthcare in China and potential impacts there of the trade war."
